id,key,value,type
4326504193,street,Ashram Road,addr
4326504193,street,Ashram Road,addr
4326504193,street,Ashram Road,addr
4326504194,street,Satellite Road,addr
4326504194,street,Satellite Road,addr
4326504194,street,Satellite Road,addr
4326515689,street,Satellite Road,addr
4326515689,street,Satellite Road,addr
4326515689,street,Satellite Road,addr
4326515689,street,Satellite Road,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330126136,street,Ahmedabad-Kalol Highway,addr
4330882665,barrier,yes,regular
4330882666,barrier,yes,regular
4337973693,street,kh road,addr
4337973693,street,kh road,addr
4337973693,street,kh road,addr
4337973891,postcode,382006,addr
4337973891,postcode,382006,addr
4337973891,postcode,382006,addr
4337973891,postcode,382006,addr
4337973892,street,Gandhinagar-Ahmedabad Highway,addr
4337973892,street,Gandhinagar-Ahmedabad Highway,addr
